id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
3054,Zieleńce,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 295; Kondratiuk, Dżereła z istorii, 1791-1792 r. (dek. Krasiłów)",woł,6,12397,"[27.003490486752867, 50.101843148707076]"
7136,Sobków,miasto,świątynia główna,Religia mojżeszowa,"Liczba głów, s. 394, 1765 r.; Muszyńska, Żydzi, s. 79; IJCP. US Commission No. POCE000279.",san,4,2512,"[20.450622175152233, 50.69934555668776]"
7180,Janów,miasto,świątynia główna,Religia mojżeszowa,"AKK. AV32, s. 330, 1748 r.; Spis żydów, s. 417, 420, 1765 r. (kahał); Liczba głów, s. 393, 1765 r. (Częstochowa); IJCP. AS 132; Acta Congressus (mapa).",kr,4,2566,"[19.436565474846766, 50.7241257498679]"
7192,Ożarów,miasto,świątynia główna,Religia mojżeszowa,"AKK. AV45, k. 51, 1748 r.; Liczba głów, s. 393, 1765 r.; Muszyńska, Żydzi, s. 70.",san,4,2475,"[21.6668804063832, 50.88823304537955]"
7209,Klimontów,miasto,świątynia główna,Religia mojżeszowa,"AKK. AV46, s. 141, 1748 r. (szkoła vulgo Bużnica); Liczba głów, s. 393, 1765 r.; Acta Congressus (mapa); Muszyńska, Żydzi, s. 69.",san,4,2455,"[21.451896015723854, 50.655957648404936]"
14538,Horyniec,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Budzyński, Ludność, II, s. 159 (diec. Przemyśl, dek. Tarnogród); SG. III, s. 160 (od 1775 r. parafialny).",beł,1,6376,"[23.362439442252537, 50.192070878748495]"
14541,Lubaczów,miasto,świątynia pomocnicza,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 252.",beł,6,6887,"[23.10451133916797, 50.148073818353794]"
14542,Lubliniec Nowy,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 223; Kołbuk 1998, s. 252 (Lubliniec).",beł,6,6609,"[23.08826389960359, 50.2942993436119]"
14543,Basznia Dolna,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 74; Kołbuk 1998, s. 251 (Basznia).",beł,6,6545,"[23.220274346064173, 50.173091754815346]"
14544,Uhnów,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 364.",beł,1,6445,"[23.75170824509877, 50.36518168283726]"
14547,Zawadów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 413; Kołbuk 1998, s. 250.",rus,6,4426,"[23.375841608579265, 50.061390061022394]"
