table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,pdl_mdzyrzcz_pdlsk,1721,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1722,1390,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1723,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1724,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1733,1218,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1734,1218,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1736,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1744,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1745,1200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1748,1663,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
