table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1201,kij_wnnc,233,rus,rs,Rus,rus_brc_kij_pod,0,28.4453063565441,49.2190502787917,""
1201,pod_ldwk,234,rus,rs,Rus,rus_brc_kij_pod,0,28.2333333333333,49.5,""
1201,kij_wrszylwk,236,rus,rs,Rus,rus_brc_kij_pod,0,28.3404125988615,49.0374429958322,""
1201,kij_zdykwcz,237,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,pod_znkw,238,rus,rs,Rus,rus_brc_kij_pod,0,27.0737578551854,49.0927358718654,""
1201,kij_zrnszcz,239,rus,rs,Rus,rus_brc_kij_pod,0,29.083440719742,49.056253268457,""
1201,kij_zwrzchwk,240,rus,rs,Rus,rus_brc_kij_pod,0,29.1745333583559,48.4433278352367,""
1201,kij_ldyzyn,241,rus,rs,Rus,rus_brc_kij_pod,0,29.2571324292044,48.6814890613505,""
1201,kij_lpwc,242,rus,rs,Rus,rus_brc_kij_pod,0,29.0602498441165,49.2179710240081,""
1202,hlc_bwrw,244,rus,rs,Rus,rus_halicz,150,25.7166666666667,49.45,""
1202,hlc_blbznc,246,rus,rs,Rus,rus_halicz,0,25.6833333333333,49.05,""
1202,hlc_bhrdczny,247,rus,rs,Rus,rus_halicz,1100,24.5389368062523,48.808608313829,""
1202,hlc_blszwc,248,rus,rs,Rus,rus_halicz,384,24.7463888888889,49.1855555555556,""
1202,hlc_bczcz,249,rus,rs,Rus,rus_halicz,1250,25.3748517635572,49.0569249549936,""
1202,hlc_bdznw,250,rus,rs,Rus,rus_halicz,510,25.7198215685299,49.1611708042141,""
1202,hlc_brsztyn,252,rus,rs,Rus,rus_halicz,800,24.6384592929678,49.2571511312529,""
1202,hlc_czrnlc,254,rus,rs,Rus,rus_halicz,300,25.4333333333333,48.8166666666667,""
1202,hlc_czrtkw,255,rus,rs,Rus,rus_halicz,1000,25.8,49.0166666666667,""
1202,hlc_dltyn,256,rus,rs,Rus,rus_halicz,450,24.6166666666667,48.5333333333333,""
1202,hlc_gwωdzc,257,rus,rs,Rus,rus_halicz,722,25.28333333,48.58333333,""
1202,hlc_hlcz,258,rus,rs,Rus,rus_halicz,280,24.7533230461832,49.1033340564261,""
1202,hlc_hrdnk,259,rus,rs,Rus,rus_halicz,850,25.4878415392055,48.6804103695425,""
