id,name_16c,year,livestock_horses,livestock_sheep
Jakubowice_wsl_snd,Jakubowice,1577,,""
Jakubowice_wsl_snd,Jakubowice,1577,,""
Dzierzazna_wsl_snd,Dzierzążna,1577,,""
Sudol_wsl_snd,Sudoł,1577,,""
Bieglow_wsl_snd,Biegłow,1577,,""
Dembiany_dzi_wsl_snd,Dembiany,1577,,""
Kujawki_wsl_snd,Kujawki,1577,,""
Kwaszyn_wsl_snd,Kwaszyn,1577,,""
Grodzonowice_wsl_snd,Grodzonowice,1577,,""
Wolica_Szyszczycka_wsl_snd,Wolica Szyszczycka,1577,,""
Szyszczyce_wsl_snd,Szyszczyce,1577,,""
Wolica_Szyszczycka_wsl_snd,Wolica Szyszczycka,1577,,""
Parszywka_wsl_snd,Parszywka,1577,,""
Jastrzebniki_wsl_snd,Jastrzębniki,1577,,""
Zagajowek_wsl_snd,Zagajówek,1577,,""
Zagajow_gor_wsl_snd,Zagajów,1577,,""
Sedziejowice_wsl_snd,Sędziejowice,1577,,""
Slodkow_wsl_snd,Ślodków,1577,,""
Borkow_sed_wsl_snd,Borków,1577,,""
Chometow_wsl_snd,Chomętów,1577,,""
Chometow_wsl_snd,Chomętów,1577,,""
Gory_wsl_snd,Góry,1577,,""
Sadek_wsl_snd,Sadek,1577,,""
Chmielnik_wsl_snd,Chmielnik,1577,,""
Zrzecze_Wielkie_wsl_snd,Zrzecze Wielkie,1577,,""
Zrzecze_Male_wsl_snd,Zrzecze Małe,1577,,""
Lagiewniki_chm_wsl_snd,Łagiewniki,1577,,""
Ruda_Medrow_wsl_snd,Ruda Mędrów,1577,,""
