Voivodeship,Powiat,Name,type,Pop,total,
Rus,Halicz,Bursztyn,city with villages,481,,
Rus,Halicz,Podhajce,city with villages,1290,,
Rus,Halicz,Bolszowce,city with villages,226,,
Rus,Halicz,Nizniow,city with villages,154,,
Rus,Halicz,Wojnilow,city with villages,495,,
,,,,,,
Rus,Trembowla,Trembowla villages,with villages,617,7018,
Rus,Trembowla,Mikulincev,with villages,463,,
Rus,Trembowla,Grzymalowv,with villages,693,,
Rus,Trembowla,Tlustev,with villages,402,,
Rus,Trembowla,Kopyczyncev,with villages,407,,
Rus,Trembowla,Suchostaw or Jablonowv,with villages,213,,
Rus,Trembowla,Czortkowv,with villages,812,,
Rus,Trembowla,Skalatv,with villages,640,,
Rus,Trembowla,Janowv,with villages,447,,
Rus,Trembowla,Budzanowv,with villages,400,,
Rus,Trembowla,Tarnopol,,,,
Rus,Trembowla,Kozlow and Kopyczynce,,1680,,
Rus,Trembowla,with p.v,,,,
Rus,Trembowla,Strusowv,with villages,244,,
,,,,,,
Rus,Kolomyja,Kolomyja villages,with villages,1059,10253,
Rus,Kolomyja,Solotwina villages,with villages,471,,
Rus,Kolomyja,Pistyn,,233,,
Rus,Kolomyja,Jablonow or Slupczalev,with villages,467,,
Rus,Kolomyja,Sniatynv,with villages,1123,,
Rus,Kolomyja,Kutyv,with villages,1013,,
Rus,Kolomyja,Gwozdziecv,with villages,659,,
Rus,Kolomyja,Zablotowv,with villages,946,,
Rus,Kolomyja,Horodenkav,with villages,646,,
Rus,Kolomyja,Kosowv,with villages,225,,
Rus,Kolomyja,Same Alterius Dominiiv,with villages,118,,
Rus,Kolomyja,Kamionki Wielkiev,with villages,56,,
Rus,Kolomyja,Ottyniav,with villages,345,,
Rus,Kolomyja,Lysiecv,with villages,171,,
Rus,Kolomyja,Nadwornav,with villages,1196,,
Rus,Kolomyja,Obertynv,with villages,419,,
Rus,Kolomyja,Horodenkav,with villages,956,,
Rus,Kolomyja,Kulaczkowcev,with villages,150,,
,,,,,,
,,,,,Chelmska?,
,,,,,,
Lublin,,Biskupice,,60,20107,
Lublin,,Baranow,,513,,
Lublin,,Belzyce,,946,,
Lublin,,Bychawa,,413,,
Lublin,,Bilgoraj,,661,,
Lublin,,Czemierniki,,325,,
Lublin,,Frampol,,191,,
Lublin,,Glusko,,333,,
Lublin,,Goraj,,332,,
Lublin,,Janow,,461,,
Lublin,,Jozefow,,924,,
Lublin,,Kazimierz,,415,,
Lublin,,Kalinowszczyzna,,325,,
Lublin,,Konska Wola,,569,,
Lublin,,Kurow,,1092,,
Lublin,,Krasnik,,1343,,
Lublin,,Kock,,793,,
Lublin,,Lubartow,,1018,,
Lublin,,Lublin,,1634,,
Lublin,,Leczna,,724,,
Lublin,,Lukow,,1563,,
Lublin,,Modliborzyce,,350,,
Lublin,,Markuszow,,356,,
Lublin,,Ostrow,,344,,
Lublin,,Opole,,487,,
Lublin,,Piaski 3 miles from Lublin,,602,,
Lublin,,Piaski near Lublin,,104,,
Lublin,,Parczew,,454,,
Lublin,,Rachow,,173,,
Lublin,,Radzyn,,797,,
Lublin,,Siedlce,,531,,
Lublin,,Wieniawa,,403,,
Lublin,,Wlostowice,,146,,
Lublin,,Wysokie,,123,,
Lublin,,Zbuczyn,,122,,
Lublin,,Zaklikow,,480,,
,,,,,,
